Episode,Step,Time,Robot,Reward,Goal Reached,Location,Collision
0,0,05/23/2023 11:59:52,robot_0,-0.7923837039810333,None,,0
0,0,05/23/2023 11:59:52,robot_1,10.0,None,,0
0,0,05/23/2023 11:59:52,robot_2,-0.1,None,,0
0,1,05/23/2023 11:59:54,robot_0,-0.7932977397966458,None,,0
0,1,05/23/2023 11:59:54,robot_1,10.0,None,,0
0,1,05/23/2023 11:59:54,robot_2,-0.1,None,,0
0,2,05/23/2023 11:59:55,robot_0,-0.7945192756526708,None,,0
0,2,05/23/2023 11:59:55,robot_1,10.0,None,,0
0,2,05/23/2023 11:59:55,robot_2,-0.1,None,,0
0,3,05/23/2023 11:59:57,robot_0,-0.7998216368365816,None,,0
0,3,05/23/2023 11:59:57,robot_1,10.0,None,,0
0,3,05/23/2023 11:59:57,robot_2,-0.1,None,,0
0,4,05/23/2023 11:59:59,robot_0,-0.7952027772282729,None,,0
0,4,05/23/2023 11:59:59,robot_1,10.0,None,,0
0,4,05/23/2023 11:59:59,robot_2,10.0,None,,0
0,5,05/23/2023 12:00:01,robot_0,-0.8168617540698055,None,,0
0,5,05/23/2023 12:00:01,robot_1,9.411647552208988,None,,0
0,5,05/23/2023 12:00:01,robot_2,10.0,None,,0
0,6,05/23/2023 12:00:03,robot_0,-0.8441061053170901,None,,0
0,6,05/23/2023 12:00:03,robot_1,9.348892292873224,None,,0
0,6,05/23/2023 12:00:03,robot_2,10.0,None,,0
0,7,05/23/2023 12:00:05,robot_0,-0.8299953521428397,None,,0
0,7,05/23/2023 12:00:05,robot_1,-0.800785285444463,None,,0
0,7,05/23/2023 12:00:05,robot_2,10.0,None,,0
0,8,05/23/2023 12:00:07,robot_0,-0.8288734343238185,None,,0
0,8,05/23/2023 12:00:07,robot_1,-0.8247614586175477,None,,0
0,8,05/23/2023 12:00:07,robot_2,10.0,None,,0
0,9,05/23/2023 12:00:09,robot_0,-0.8625447148973057,None,,0
0,9,05/23/2023 12:00:09,robot_1,-0.8400321680700499,None,,0
0,9,05/23/2023 12:00:09,robot_2,10.0,None,,0
0,10,05/23/2023 12:00:11,robot_0,-0.9129565098821618,None,,0
0,10,05/23/2023 12:00:11,robot_1,-0.9101119520998563,None,,0
0,10,05/23/2023 12:00:11,robot_2,10.0,None,,0
0,11,05/23/2023 12:00:12,robot_0,-0.9118558756374948,None,,0
0,11,05/23/2023 12:00:12,robot_1,-0.9898622775916607,None,,0
0,11,05/23/2023 12:00:12,robot_2,10.0,None,,0
0,12,05/23/2023 12:00:14,robot_0,-0.9587177901801252,None,,0
0,12,05/23/2023 12:00:14,robot_1,-1.0060605962414388,None,,0
0,12,05/23/2023 12:00:14,robot_2,10.0,None,,0
0,13,05/23/2023 12:00:16,robot_0,-1.0247105583532967,None,,0
0,13,05/23/2023 12:00:16,robot_1,-0.9975944436211266,None,,0
0,13,05/23/2023 12:00:16,robot_2,-0.1,None,,0
0,14,05/23/2023 12:00:18,robot_0,-1.1483187032782642,None,,0
0,14,05/23/2023 12:00:18,robot_1,-0.957810169774384,None,,0
0,14,05/23/2023 12:00:18,robot_2,-0.1,None,,0
0,15,05/23/2023 12:00:20,robot_0,-1.2414021724392446,None,,0
0,15,05/23/2023 12:00:20,robot_1,-0.9128208643783432,None,,0
0,15,05/23/2023 12:00:20,robot_2,-0.1,None,,0
0,16,05/23/2023 12:00:22,robot_0,-1.311289240768163,None,,0
0,16,05/23/2023 12:00:22,robot_1,-0.905709171020123,None,,0
0,16,05/23/2023 12:00:22,robot_2,-0.1,None,,0
0,17,05/23/2023 12:00:23,robot_0,-1.3575017404073724,None,,0
0,17,05/23/2023 12:00:23,robot_1,-0.9128168476929612,None,,0
0,17,05/23/2023 12:00:23,robot_2,-0.1,None,,0
0,18,05/23/2023 12:00:25,robot_0,-1.2890823559162519,None,,0
